Gender,Age,H.S.C passing year,Current Semester,Do you have meritorious scholarship ?,Do you use University transportation?,How many hour do you study daily?,How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you have personal Computer?,How many hour do you spent daily in social media?,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,How many hour do you spent daily on your skill development?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,What was your previous SGPA?,Do you have any physical disabilities?,What is your current CGPA?,How many Credit did you have completed?,What is your monthly family income?,Status of your English language proficiency_Basic,Status of your English language proficiency_Intermediate,What is your relationship status?_Married,What is your relationship status?_Relationship,What is your relationship status?_Single
1,24,2016,12,1,0,3,2,0,1,1,5,90,0,0,1,2,1,1,0,2.68,0,3.15,75,25000,False,True,False,False,True
1,22,2020,4,1,1,3,2,1,1,1,3,96,1,0,0,2,1,0,0,2.68,0,3.15,36,100000,True,False,False,False,True
0,21,2019,5,0,0,3,3,0,1,1,3,80,0,0,1,1,0,1,0,2.68,0,3.15,50,50000,False,True,False,False,True
1,20,2020,4,1,0,1,3,0,1,1,2,88,0,0,1,1,0,1,1,2.68,0,3.15,36,62488,False,True,False,False,True
1,22,2019,4,1,0,3,1,1,1,1,2,80,0,0,1,1,0,1,1,2.68,0,3.15,36,50000,False,True,False,True,False
1,20,2020,4,1,1,2,2,0,1,1,1,95,0,0,1,2,1,0,0,2.68,0,3.15,36,30000,False,True,False,False,True
1,22,2018,4,1,0,2,4,1,1,1,2,80,0,0,0,6,0,1,1,2.68,0,3.15,36,20000,False,True,False,False,True
0,22,2019,4,1,0,2,2,0,1,1,2,100,1,0,1,1,0,1,0,3.8,0,3.64,35,32500,True,False,False,False,True
1,20,2020,4,1,0,3,2,0,1,1,2,90,0,0,0,3,0,1,0,2.68,0,3.15,36,20000,False,True,False,False,True
0,22,2020,4,1,1,5,2,0,1,1,2,100,0,0,1,1,0,0,0,2.68,0,3.15,36,25000,False,True,False,False,True
1,22,2019,4,1,1,3,2,1,1,1,3,90,0,0,1,1,1,0,0,2.68,0,3.15,36,50000,False,True,False,False,True
1,22,2019,4,0,0,3,2,0,1,1,2,90,0,0,0,2,0,1,1,3.4,0,3.53,35,20000,True,False,False,False,True
0,22,2020,4,0,1,1,1,0,1,1,1,100,0,0,1,2,0,0,0,2.68,0,3.15,36,50000,True,False,False,False,True
0,21,2019,4,1,0,3,2,0,1,1,1,90,0,0,0,1,0,1,0,2.68,0,3.15,36,24000,False,True,False,False,True
